,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,8.366,2.350,-0.651,9.168,,,,,,
,,8.387,2.412,-0.627,9.130,,,,,,
,,8.407,2.263,-0.641,9.173,,,,,,
,,8.428,2.196,-0.694,9.173,,,,,,
,,8.448,2.211,-0.684,9.183,,,,,,
,,8.468,2.153,-0.660,9.226,,,,,,
,,8.489,2.163,-0.718,9.192,,,,,,
,,8.509,2.163,-0.847,9.173,,,,,,
,,8.529,2.163,-0.804,9.168,,,,,,
,,8.550,2.206,-0.641,9.192,,,,,,
,,8.570,2.196,-0.651,9.235,,,,,,
,,8.591,2.129,-0.627,9.250,,,,,,
,,8.611,2.163,-0.498,9.168,,,,,,
,,8.631,2.211,-0.469,9.082,,,,,,
,,8.652,2.220,-0.507,9.140,,,,,,
,,8.672,2.163,-0.388,9.192,,,,,,
,,8.692,2.077,-0.316,9.106,,,,,,
,,8.713,2.172,-0.378,9.087,,,,,,
,,8.733,2.230,-0.392,9.226,,,,,,
,,8.754,2.249,-0.345,9.226,,,,,,
,,8.774,2.340,-0.215,9.159,,,,,,
,,8.794,2.373,-0.148,9.183,,,,,,
,,8.815,2.393,-0.206,9.235,,,,,,
,,8.835,2.445,-0.225,9.226,,,,,,
,,8.855,2.469,-0.187,9.250,,,,,,
,,8.876,2.531,-0.187,9.269,,,,,,
,,8.896,2.570,-0.249,9.130,,,,,,
,,8.917,2.531,-0.249,9.125,,,,,,
,,8.937,2.598,-0.182,9.082,,,,,,
,,8.957,2.718,-0.225,9.087,,,,,,
,,8.978,2.761,-0.268,9.149,,,,,,
,,8.998,2.785,-0.196,9.087,,,,,,
,,9.018,2.775,-0.187,9.130,,,,,,
,,9.039,2.742,-0.249,9.216,,,,,,
,,9.059,2.699,-0.325,9.226,,,,,,
,,9.080,2.689,-0.345,9.173,,,,,,
,,9.100,2.608,-0.345,9.073,,,,,,
,,9.120,2.503,-0.464,9.082,,,,,,
,,9.141,2.479,-0.565,9.202,,,,,,
,,9.161,2.469,-0.555,9.245,,,,,,
,,9.181,2.479,-0.708,9.192,,,,,,
,,9.202,2.469,-0.828,9.173,,,,,,
,,9.222,2.436,-0.665,9.149,,,,,,
,,9.242,2.393,-0.531,9.073,,,,,,
