Auto,Run #15
Time (s),Angular Velocity (rad/s)
57.05,4.654
57.1,4.596
57.15,4.538
57.2,4.48
57.25,4.422
57.3,4.363
57.35,4.363
57.4,4.363
57.45,4.305
57.5,4.247
57.55,4.189
57.6,4.189
57.65,4.131
57.7,4.072
57.75,4.014
57.8,3.956
57.85,3.898
57.9,3.84
57.95,3.84
58,3.782
58.05,3.723
58.1,3.665
58.15,3.607
58.2,3.549
58.25,3.491
58.3,3.491
58.35,3.432
58.4,3.374
58.45,3.316
58.5,3.258
58.55,3.2
58.6,3.142
58.65,3.142
58.7,3.142
58.75,3.083
58.8,3.025
58.85,2.967
58.9,2.967
58.95,2.967
59,2.909
59.05,2.851
59.1,2.734
59.15,2.676
59.2,2.676
59.25,2.676
59.3,2.618
59.35,2.56
59.4,2.502
59.45,2.443
59.5,2.385
59.55,2.385
59.6,2.385
59.65,2.269
59.7,2.153
59.75,2.094
59.8,2.094
59.85,2.094
59.9,2.094
59.95,2.036
60,1.92
60.05,1.804
60.1,1.745
60.15,1.745
60.2,1.745
60.25,1.687
60.3,1.571
60.35,1.513
60.4,1.513
60.45,1.513
60.5,1.396
60.55,1.28
60.6,1.222
60.65,1.164
60.7,1.164
60.75,1.164
60.8,1.105
60.85,0.989
60.9,0.931
60.95,0.931
61,0.873
61.05,0.756
61.1,0.698
61.15,0.698
61.2,0.698
61.25,0.64
61.3,0.582
61.35,0.524
61.4,0.465
61.45,0.407
61.5,0.349
61.55,0.349
61.6,0.291
61.65,0.233
61.7,0.175
61.75,0.116
61.8,0.116
61.85,0.116
61.9,0.116
61.95,0
62,-0.116
62.05,-0.116
62.1,-0.116
62.15,-0.116
62.2,-0.116
62.25,-0.116
62.3,-0.116
62.35,-0.116
62.4,-0.116
62.45,-0.116
62.5,-0.116
62.55,-0.058
62.6,0
62.65,0.058
62.7,0.116
62.75,0.116
62.8,0.116
62.85,0.116
62.9,0.116
62.95,0.058
63,0.058
63.05,0.175
